,tweet
95,"Saluuuuuut, bukan sesuatu mudah untuk memastikan modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo"
96,"Emang bener si, bukan sesuatu mudah untuk membangun memperbaharui persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo"
97,Survei SPIN: Prabowo Subianto Paling Pantas Lanjutkan Program Pembangunan Era Jokowi  https://t.co/XMLveCuGbs
98,@Seto75829611 @antaranews Dinegara kita mentalnya lebih baik jadi makelar daripada produksi sendiri. Saat kampanye Pilpres ngibulin rakyat menyatakan akan utamakan produk dalam negri @prabowo @jokowi. Nyatanya jeruk dan berbagai komiditi yg bisa dihasilkan dalam negri diimport membuat petani makin melarat
99,Mantaaaap..  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo
100,Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo
101,"Hey, Indonesia menghadapi masalah dan ancaman yang tidak kecil, dari Internal maupun luar, terhadap kedaulatan. Visi Keren Prabowo Subianto, kita harus siap.  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo"
102,Salut bangeeeeet..  bukan sesuatu mudah untuk memastikan modernisasi persenjataan perang Indonesia. Visi Keren Prabowo Subianto.  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo
103,@TokenPomo @jokowi @sandiuno @prabowo
104,"@Kemhan_RI @florence_parly @prabowo Mengingat statusnya pak Bowo DuDa,Jadi yaa wajarlah Kalo Pak Bowo fall in love ke Mbak @florence_parly  Walaupun seharusnya pembeli adalah raja"
105,Saluuuut  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo
106,Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo
107,@jokowi @prabowo @rianernesto Ratas terakhir yang diikuti oleh Bu Connie menyatakan bahwa Pak @jokowi hanya bilang untuk selesaikan MEF. Tidak ada pembahasan pembelian Rafale di dalam ratas tersebut
108,Survei SPIN: Prabowo Subianto Paling Pantas Lanjutkan Program Pembangunan Era Jokowi  https://t.co/y8gw1LIar8
109,"@Kemhan_RI @florence_parly @prabowo Ramenez la coupe à la maison Allez les bleus, allez 20 ans après c'est le moment Allez les bleus, allez  Buat yg paham aja! (Jangan nyanyi)"
110,@Kemhan_RI @florence_parly @prabowo Dalam menghormati tamu masalah bahasa menurut saya biasa saja
111,"@jokowi @prabowo @rianernesto @rianernesto: butuh transparansi dalam pembelian Rafale, rakyat masih belum teryakinkan apakah pembelian ini yang tepat  Di dalam web Dassault tidak ada point ToT untuk Indonesia"
112,Rilis Survei Spin: Elektabilitas Prabowo Subianto Masih Tertinggi  https://t.co/ZSyrnWNhTc
113,"Mataaap, Indonesia melaksanakan keputusan cerdas dengan rencananya memboyong 42 Rafale dan dua Scorpene dari Prancis. Visi Keren Prabowo Subianto.  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo"
114,"@jokowi @prabowo @rianernesto: modernisasi sangat penting, namun PSI harus realistis dengan kondisi yg ada, terutama kondisi ekonomi yang sangat terdampak oleh pandemi."
115,"Emang sih, bukan sesuatu mudah untuk membangun memperbaharui persenjataan perang Indonesia. Visi Prabowo Subianto keren  Prabowo Bikin Terobosan Modernisasi Senjata Kita Makin Canggih Makin Kuat @Kemhan_RI @prabowo"
116,"@kentankkkmcd @Gerindra Admin @Gerindra memang gada lawan sih, ky idolaku pak Prabs @prabowo 😭"
117,"Rachel Maryam: Perintah pertama Pak @jokowi kepada Pak @prabowo, membuat grand design pertahanan Indonesia selama 25 tahun ke depan"
118,Survei SPIN: Prabowo Subianto Paling Pantas Lanjutkan Program Pembangunan Era Jokowi  https://t.co/p1pUSrlazv
119,@Kbn_Sulut @prabowo @Kemhan_RI belinya di angsur sama pulau ya?
120,@LiaImawati2 @prabowo @Kemhan_RI Toooop
121,Survei SPIN: Prabowo Subianto Paling Pantas Lanjutkan Program Pembangunan Era Jokowi  https://t.co/SSmLD75cpo
122,@conan_idn @Dahnilanzar @prabowo Setuju..tlg di jwb bung danil
123,@Kbn_Sulut @prabowo @Kemhan_RI Pelan2 mulai nampak..siapa sebetulnya yg layak memimpin negara sebesar ini..sehat2 trs ya bapak @prabowo
124,"@ethique4 @SAFRAN @Dassault_OnAir @florence_parly @prabowo @thalesgroup @Armees_Gouv @SafranEngines @SafranLandingS @SafranAerosys @SafranElectric @SafranElecDef T'es au courant qu'on est pas les seuls à vendre de l'armement ? Si ils achètent pas chez nous, ils achèteront ailleurs et ça fera de l'argent en moins pour la France."
125,"@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Setuju kok, kita harus tingkatkan alusista kita. Gak harus sekarang tapinya, kan? Thailand enak udah beli F16 dari tahun 1980an. Itu aja akan dimodernisasi lagi mulai tahun 2023. Sudah ya, bila anda lebih setuju beli sekarang ya gpp, artinya kita beda pendapat. Saling hormati aja"
126,"@muraille8888 @SAFRAN @Dassault_OnAir @florence_parly @prabowo @thalesgroup @Armees_Gouv @SafranEngines @SafranLandingS @SafranAerosys @SafranElectric @SafranElecDef C'était des anglophones, là c'est un contrat avec des gens normaux 😂"
127,"@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Sebagai mantan dosen hukum diplomatik di UI, saya bisa bilang skala konflik kita dengan Tiongkok belum mengarah pada sengketa apalagi pertikaian."
128,"@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Kalo ditunda 1-2 tahun gpp kan belinya. Pertahanan gak harus militer aja. Covid beres ekonomi pulih, baru belanja pesawat. Kalo saya melihatnya, trickle down effect pembelian pesawat ini hampir gak ada buat pemulihan covid dan ekonomi. Sebaiknya kita melihat itu juga."
129,"@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Jadi gini, masalah APBN itu masalah prioritas. Kita punya RPJMN dan modernisasi alusista memang masuk prioritas. Tapi dalam kondisi mendesak diperlukan contigency plan. Kemenhan harusnya luwes juga melihat kondisi."
130,@Puspen_TNI @prabowo
131,@DwiRanjani1 @HanipSinta @Kemhan_RI @prabowo Keren lah pemimpin kita
132,@MarniNurliza @HindianiTika @Kemhan_RI @prabowo Setuju sis. Dan ini butuh keputusan besar pemimpin kita.
133,@AdaniDian @prabowo @Kemhan_RI Indonesia🇮🇩 kaya merdeka sepanjang masa.
134,"2. Harga per unit pesawat adalah Rp $120 Juta = 1,7 Triliun.  3. Pesawat akan tiba dalam waktu sekitar 56 bulan sejak kontrak diefektifkan.  4. Menhan RI Prabowo Subianto, terlibat langsung dalam pemilihan pesawat ini"
135,@Kinanti_mhrni @Kemhan_RI @prabowo Hadapi ancaman  dengan menata kesiapan alutsista kita.
136,@HindianiTika @Kemhan_RI @prabowo Keputusan yang membutuhkan keberanian. Bravo pak.
137,"@HindianiTika @Kemhan_RI @prabowo Betapa pentingnya modernisasi alutsista kita, demi Indonesia kuat"
138,@HanipSinta @Kemhan_RI @prabowo Setuju ini. Dukung terus pak
139,"@lil_noted @KakekHalal @MudasirRomini @dennysirregar7 @prabowo Aku dulu punya group namanya bajak laut, sama mantan 1. Info ada, tp ga ada yg ngajakin, jd ga ngerti harus gimana 🙈"
140,"@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Lihat kemampuan tempur laut kita. Jauh diatas negara-negara ASEAN lain. PSI tidak mendebat perlunya modernisasi alusista. Tapi gak sekarang. Abis pandemi. Itu aja. Ya kalo gak setuju gpp, gak usah jelek2in orang lain. Ad hominem.  https://t.co/sEIiZMbuIt"
141,@SofiaMawa @prabowo @Kemhan_RI Merdeka....
142,@MadinaSela @Kemhan_RI @prabowo Mantapppp
143,@MSApunya @RachmatBawono @prabowo Kala itu.. Waktu itu..
144,@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 wkwkk kok anda kontradiktif. lah itu pulau buatan tiongkok dibikin di LCS aja udah salah. bahkan kapal perang tiongkok aja udah mulai masuk laut natuna utara. yakin itu bakal bukan jadi musuh? gak usah naif dan pura2 bodoh.
145,@Arissetiana9 @Kemhan_RI @prabowo Sehat selalu pak menhan
