username,tweet,location
Taniaanandaa,"""Serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
Taniaanandaa,"""Yang saya tahu bahwa yang bersangkutan itu menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
CalistaKaisa,"""Serta mendukung pencalonan Pak Prabowo sebagai presiden,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
CalistaKaisa,"""Yang saya tahu bahwa yang bersangkutan itu menyatakan bahwa masih tunduk kepada garis partai dan loyal kepada Pak Prabowo,"" kata Dasco.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo",JAMBI
Taniaanandaa,Ketua Harian DPP Partai Gerindra Sufmi Dasco Ahmad tak 100 persen percaya Sandiaga akan terus bertahan di Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
CalistaKaisa,Ketua Harian DPP Partai Gerindra Sufmi Dasco Ahmad tak 100 persen percaya Sandiaga akan terus bertahan di Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
CalistaKaisa,Dalam pertemuan tersebut Sandiaga Uno menyatakan setia dan mendukung Prabowo Subianto yang akan menjadi capres 2024 dari Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
Taniaanandaa,Pernyataan Sandiaga ini tidak sepenuhnya dipercaya oleh petinggi Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
CalistaKaisa,Pernyataan Sandiaga ini tidak sepenuhnya dipercaya oleh petinggi Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
Taniaanandaa,Dalam pertemuan tersebut Sandiaga Uno menyatakan setia dan mendukung Prabowo Subianto yang akan menjadi capres 2024 dari Partai Gerindra.  @prabowo  #dekade08  #mendingprabowo  #pilpres2024  #terusmajubersamaprabowo,JAMBI
